0.480, 1.550, 0.3510, 3
0.460, 1.500, 0.3465, 3
0.420, 1.380, 0.3492, 3
0.410, 1.350, 0.3478, 3
0.450, 1.470, 0.3482, 3
0.440, 1.440, 0.3498, 3
0.400, 1.330, 0.3444, 3
0.490, 1.590, 0.3499, 3
0.460, 1.510, 0.3491, 3
0.420, 1.390, 0.3455, 3
0.450, 1.480, 0.3501, 3
0.470, 1.530, 0.3484, 4
0.430, 1.420, 0.3509, 4
0.400, 1.340, 0.3443, 3
0.440, 1.450, 0.3512, 4
0.480, 1.560, 0.3489, 5
0.460, 1.520, 0.3487, 2
0.490, 1.600, 0.3478, 2
0.430, 1.430, 0.3527, 2
0.470, 1.540, 0.3438, 3
0.420, 1.400, 0.3475, 3
0.440, 1.460, 0.3513, 2
0.400, 1.350, 0.3443, 3
0.410, 1.370, 0.3477, 3
0.450, 1.490, 0.3487, 5
0.480, 1.570, 0.3468, 4
0.460, 1.530, 0.3488, 3
0.490, 1.610, 0.3469, 3
0.470, 1.550, 0.3451, 3
0.430, 1.440, 0.3484, 4
0.400, 1.360, 0.3462, 3
0.420, 1.410, 0.3487, 3
0.410, 1.380, 0.3470, 3
0.450, 1.500, 0.3489, 3
0.440, 1.470, 0.3517, 3
0.480, 1.580, 0.3521, 2
0.460, 1.540, 0.3452, 3
0.430, 1.450, 0.3491, 2
0.420, 1.420, 0.3539, 2
0.400, 1.370, 0.3460, 3
0.470, 1.560, 0.3455, 3
0.410, 1.390, 0.3467, 3
0.440, 1.480, 0.3505, 3
0.430, 1.460, 0.3494, 2
0.480, 1.590, 0.3483, 3
0.460, 1.550, 0.3480, 3
0.450, 1.510, 0.3473, 5
0.470, 1.570, 0.3560, 2
0.400, 1.380, 0.3456, 3
0.420, 1.430, 0.3468, 3
0.450, 1.520, 0.3475, 2
0.410, 1.400, 0.3473, 3
0.480, 1.600, 0.3492, 2
0.430, 1.470, 0.3515, 2
0.490, 1.630, 0.3482, 4
0.460, 1.560, 0.3486, 3
0.470, 1.580, 0.3495, 2
0.440, 1.490, 0.3498, 5
0.400, 1.390, 0.3438, 3
0.420, 1.440, 0.3479, 3
0.410, 1.410, 0.3479, 3
0.490, 1.640, 0.3494, 3
0.480, 1.610, 0.3458, 3
0.450, 1.530, 0.3515, 4
0.460, 1.570, 0.3482, 3
0.430, 1.480, 0.3480, 4
0.440, 1.500, 0.3491, 4
0.400, 1.400, 0.3452, 3
0.420, 1.450, 0.3496, 3
0.470, 1.590, 0.3504, 3
0.410, 1.420, 0.3473, 3
0.490, 1.650, 0.3465, 3
0.460, 1.580, 0.3458, 2
0.450, 1.540, 0.3489, 3
0.480, 1.620, 0.3479, 3
0.430, 1.490, 0.3509, 3
0.440, 1.510, 0.3474, 3
0.400, 1.410, 0.3434, 3
0.420, 1.460, 0.3494, 3
0.450, 1.550, 0.3517, 2
0.410, 1.430, 0.3486, 3
0.460, 1.590, 0.3491, 2
0.490, 1.660, 0.3476, 3
