0.450, 1.420, 13957, 9348, 6259
0.470, 1.480, 14455, 9951, 6920
0.480, 1.500, 14582, 10124, 7118
0.400, 1.270, 12490, 7618, 4385
0.440, 1.390, 13688, 9027, 5911
0.430, 1.360, 13408, 8697, 5548
0.490, 1.540, 14905, 10505, 7530
0.410, 1.300, 12813, 7989, 4789
0.420, 1.330, 13123, 8351, 5175
0.460, 1.450, 14208, 9654, 6594
0.470, 1.480, 14455, 9951, 6920
0.450, 1.420, 13960, 9349, 6259
0.400, 1.270, 12481, 7613, 4387
0.440, 1.390, 13688, 9027, 5909
0.480, 1.510, 14691, 10230, 7229
0.430, 1.360, 13410, 8697, 5552
0.410, 1.300, 12804, 7987, 4787
0.490, 1.540, 14901, 10506, 7530
0.420, 1.330, 13118, 8350, 5175
0.460, 1.450, 14212, 9654, 6594
0.470, 1.480, 14455, 9950, 6919
0.450, 1.420, 13960, 9347, 6260
0.400, 1.270, 12483, 7613, 4384
0.430, 1.360, 13410, 8697, 5549
0.410, 1.300, 12804, 7989, 4787
0.420, 1.330, 13116, 8349, 5175
0.480, 1.510, 14683, 10230, 7230
0.490, 1.540, 14899, 10503, 7532
0.440, 1.400, 13808, 9147, 6034
0.460, 1.460, 14320, 9767, 6716
0.470, 1.490, 14559, 10057, 7033
0.400, 1.270, 12483, 7618, 4386
0.450, 1.430, 14071, 9463, 6380
0.410, 1.300, 12806, 7987, 4789
0.420, 1.330, 13116, 8350, 5176
0.490, 1.540, 14905, 10504, 7530
0.480, 1.510, 14680, 10230, 7230
0.440, 1.400, 13800, 9147, 6034
0.430, 1.370, 13529, 8820, 5681
0.460, 1.460, 14317, 9769, 6712
0.470, 1.490, 14550, 10060, 7033
0.400, 1.270, 12480, 7618, 4384
0.450, 1.430, 14062, 9462, 6381
0.410, 1.300, 12804, 7987, 4789
0.440, 1.400, 13800, 9149, 6034
0.480, 1.510, 14681, 10233, 7229
0.460, 1.460, 14315, 9767, 6715
0.430, 1.370, 13526, 8820, 5678
0.490, 1.550, 15000, 10607, 7638
0.470, 1.490, 14554, 10058, 7033
0.450, 1.430, 14064, 9462, 6380
0.420, 1.340, 13241, 8477, 5308
0.410, 1.310, 12938, 8119, 4923
0.400, 1.280, 12617, 7754, 4526
0.440, 1.400, 13800, 9147, 6034
0.430, 1.370, 13523, 8817, 5677
0.460, 1.460, 14317, 9767, 6711
0.480, 1.520, 14789, 10340, 7340
0.420, 1.340, 13235, 8478, 5308
0.470, 1.490, 14555, 10059, 7033
0.450, 1.430, 14067, 9461, 6380
0.490, 1.550, 14996, 10607, 7638
0.410, 1.310, 12928, 8119, 4923
0.400, 1.280, 12612, 7749, 4526
0.430, 1.370, 13526, 8816, 5682
0.420, 1.340, 13235, 8476, 5307
0.460, 1.470, 14425, 9878, 6829
0.400, 1.280, 12610, 7748, 4527
0.410, 1.310, 12929, 8119, 4923
0.440, 1.410, 13917, 9267, 6157
0.480, 1.520, 14780, 10340, 7339
0.450, 1.440, 14179, 9578, 6500
0.490, 1.550, 14994, 10609, 7638
0.470, 1.500, 14661, 10165, 7147
0.420, 1.340, 13235, 8476, 5308
